age;ed;employ;address;income;debtinc;creddebt
41;Среднее специальное;17;12;35,9;11,9;0,5
30;Неполное среднее;13;8;46,7;17,88;1,35
40;Неполное среднее;15;14;61,8;10,64;3,44
41;Неполное среднее;15;14;72;29,67;4,17
57;Неполное среднее;7;37;25,6;15,86;1,5
45;Неполное среднее;0;13;28,1;4,28;0,92
36;Неполное среднее;1;3;19,6;12,82;1,21
39;Неполное среднее;20;9;80,5;12,32;1,85
43;Неполное среднее;12;11;68,7;6,82;1,43
34;Среднее специальное;7;12;33,8;10,71;1,42
26;Неполное среднее;1;2;22,2;7,27;0,58
37;Среднее;17;10;78,3;25,44;7,09
44;Неполное среднее;8;15;77,8;10,55;3,61
36;Среднее;8;1;48,1;5,28;0,74
27;Среднее;1;8;34,7;10,21;1,88
35;Неполное среднее;7;13;42,8;10,99;0,99
40;Неполное среднее;12;7;41,2;7,01;1,27
23;Неполное среднее;5;3;20,6;6,99;0,32
51;Неполное среднее;35;7;134,7;14,75;2,86
45;Среднее;2;26;34,8;4,98;1,23
46;Среднее;24;16;104,5;3,26;0,04
48;Среднее;1;11;17,4;13,44;0,24
27;Неполное среднее;9;2;27,3;16,43;0,03
28;Неполное среднее;10;9;39,9;5,6;0,55
28;Неполное среднее;3;6;18,1;6,06;0,18
29;Неполное среднее;8;6;34,5;7,47;1,05
28;Неполное среднее;0;0;20,4;0,99;0,08
32;Незаконченное высшее;6;12;18,7;11,7;1,06
38;Среднее;0;9;73,9;15,62;5,47
30;Неполное среднее;10;4;30,7;16,78;0,46
33;Среднее;12;8;49,3;9,35;2,26
24;Неполное среднее;8;3;22,3;14,29;0,12
45;Неполное среднее;3;15;23,9;2,18;0,13
30;Неполное среднее;1;10;46,7;6,45;1,19
44;Неполное среднее;27;17;118,6;12,75;9,78
33;Среднее;11;4;45,7;6,4;1,63
35;Неполное среднее;4;0;48;2,76;0,43
26;Неполное среднее;6;4;21,9;10,54;1,59
50;Среднее;10;24;50,8;3,39;0,64
34;Неполное среднее;0;15;23,2;6,46;0,66
21;Среднее специальное;0;2;30;5,42;0,25
40;Среднее;20;20;70,5;17,16;3,94
45;Неполное среднее;23;5;71,4;4,26;0,81
23;Неполное среднее;7;2;21,8;8,2;0,51
28;Среднее;4;7;35,8;1,89;0,12
23;Неполное среднее;5;2;26,8;1,65;0,1
36;Среднее;10;1;36,4;5,38;0,28
41;Среднее;9;10;49,2;6,88;0,47
35;Неполное среднее;13;15;39,9;4,56;0,5
47;Неполное среднее;4;2;26,6;6,64;1,08
27;Неполное среднее;0;5;15,2;15,53;0,89
