longdist;local;int_disc;billtype;pay;gender;marital;income;agecat;churn
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;77680;<31;1
;<8;Нет;Бесплатный;CC;Мужской;Женат;37111,5;<31;1
<2;<8;Нет;;CC;Мужской;Женат;;;1
<2;<8;;Бесплатный;CH;Мужской;Одинокий;;<31;0
<2;;Нет;Бесплатный;Auto;;Одинокий;16829,6;<31;1
;<8;Нет;Бесплатный;;Женский;Одинокий;57272,7;<31;1
;<8;Нет;Бюджетный;;Мужской;Женат;;<31;1
<2;<8;Нет;Бесплатный;Auto;Мужской;;;<31;1
<2;<8;Да;;CH;Мужской;Одинокий;92167,3;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;37135,5;<31;1
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;18831,1;<31;0
<2;<8;Нет;Бюджетный;CC;Женский;Женат;19654,9;<31;1
<2;<8;Нет;Бюджетный;CD;Женский;Женат;49059,4;<31;1
<2;<8;Нет;Бесплатный;CD;Мужской;Одинокий;24457,6;<31;0
<2;<8;Да;Бесплатный;CH;Мужской;Одинокий;76660,7;<31;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;4054,55;<31;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;90364,4;<31;1
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;50968,9;<31;1
<2;<8;Да;Бесплатный;CH;Мужской;Одинокий;27170,6;<31;1
<2;<8;Нет;Бесплатный;CH;Женский;Женат;52231,5;<31;1
<2;<8;Нет;Бесплатный;CH;Женский;Женат;56016;<31;1
<2;<8;Нет;Бесплатный;CH;Женский;Женат;25949;<31;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;34805,5;<31;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;60111,8;<31;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;13126,9;<31;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;96283,6;<31;1
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;17499,2;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;47211,6;31-45;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;57596,1;31-45;1
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;55501,6;31-45;1
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;39229,1;31-45;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;67026,6;31-45;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;54864,6;31-45;1
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;11861,4;31-45;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;13141,5;31-45;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;66312,2;31-45;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;65867,1;46-58;0
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;20058,4;46-58;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;52307;46-58;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;60034,9;46-58;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;66906,6;46-58;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;37571,1;46-58;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;10219;46-58;0
<2;<8;Да;Бюджетный;CC;Женский;Женат;52750,8;46-58;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;87073,1;46-58;0
<2;<8;Да;Бесплатный;CH;Мужской;Женат;49127,2;59-70;1
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;8392,14;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;90856,9;59-70;0
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;24329,4;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;33935,8;59-70;0
<2;<8;Да;Бесплатный;CC;Женский;Женат;98967,7;59-70;1
<2;<8;Да;Бесплатный;CH;Мужской;Женат;64880;59-70;1
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;91446,4;59-70;0
